dt,rawTX,rawTY,rawTZ,rawYaw,rawPitch,rawRoll,correctedTX,correctedTY,correctedTZ,correctedYaw,correctedPitch,correctedRoll,filteredTX,filteredTY,filteredTZ,filteredYaw,filteredPitch,filteredRoll,mappedTX,mappedTY,mappedTZ,mappedYaw,mappedPitch,mappedRoll
0.0041274,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0191776,-3.40731e-05,-0.00374707,0.00141989,0,0,0.0479441,-3.40731e-05,-0.00374707,0.00141989
0.003873,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0191776,-3.40731e-05,-0.00374707,0.00141989,0,0,0.0479441,-3.40731e-05,-0.00374707,0.00141989
0.003331,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0191776,-3.40731e-05,-0.00374707,0.00141989,0,0,0.0479441,-3.40731e-05,-0.00374707,0.00141989
0.0039103,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0191776,-3.40731e-05,-0.00374707,0.00141989,0,0,0.0479441,-3.40731e-05,-0.00374707,0.00141989
0.0038474,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0191776,-3.40731e-05,-0.00374707,0.00141989,0,0,0.0479441,-3.40731e-05,-0.00374707,0.00141989
0.0040581,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0207707,-3.73398e-05,-0.00406397,0.00153981,0,0,0.0519269,-3.73398e-05,-0.00406397,0.00153981
0.0037135,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0222431,-4.03681e-05,-0.00435774,0.00165098,0,0,0.0556078,-4.03681e-05,-0.00435774,0.00165098
0.0040698,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0238366,-4.36549e-05,-0.00467659,0.00177164,0,0,0.0595915,-4.36549e-05,-0.00467659,0.00177164
0.0038862,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0253462,-4.67793e-05,-0.00497969,0.00188634,0,0,0.0633654,-4.67793e-05,-0.00497969,0.00188634
0.003915,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0268621,-4.99274e-05,-0.00528509,0.00200192,0,0,0.0671552,-4.99274e-05,-0.00528509,0.00200192
