dt,rawTX,rawTY,rawTZ,rawYaw,rawPitch,rawRoll,correctedTX,correctedTY,correctedTZ,correctedYaw,correctedPitch,correctedRoll,filteredTX,filteredTY,filteredTZ,filteredYaw,filteredPitch,filteredRoll,mappedTX,mappedTY,mappedTZ,mappedYaw,mappedPitch,mappedRoll
6e-07,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
2.95e-05,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
5.4e-06,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
4.4e-06,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
4.2e-06,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0030379,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0029515,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0039368,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0034669,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0044444,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0038289,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0039864,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0039896,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0039502,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0039295,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0034073,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0043772,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0038508,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0035507,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0038563,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0039123,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0044992,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0040086,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0033347,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0039517,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
0.0038786,-1.19721,13.0971,90.2849,21.6212,-19.9514,-0.45885,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06,0,0,0,0,0,1.70755e-06
