dt,rawTX,rawTY,rawTZ,rawYaw,rawPitch,rawRoll,correctedTX,correctedTY,correctedTZ,correctedYaw,correctedPitch,correctedRoll,filteredTX,filteredTY,filteredTZ,filteredYaw,filteredPitch,filteredRoll,mappedTX,mappedTY,mappedTZ,mappedYaw,mappedPitch,mappedRoll
7e-07,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06
6.55e-05,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06
1.48e-05,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06
0.0042474,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06
0.0038291,1.68967,12.9185,80.9665,-2.86005,-14.0302,-5.84597,0.183945,0.0746262,0.826611,-0.419306,-0.2395,0.163483,0.000359048,0,0.00310785,-0.000397508,-0.000219192,0.00013582,0.000897621,0,0.00776961,-0.000397508,-0.000219192,0.00013582
0.0039908,1.68967,12.9185,80.9665,-2.86005,-14.0302,-5.84597,0.183945,0.0746262,0.826611,-0.419306,-0.2395,0.163483,0.000727111,0,0.00629371,-0.000817185,-0.000445029,0.000279717,0.00181778,0,0.0157343,-0.000817184,-0.000445029,0.000279717
0.0038579,1.68967,12.9185,80.9665,-2.86005,-14.0302,-5.84597,0.183945,0.0746262,0.826611,-0.419306,-0.2395,0.163483,0.00108255,0,0.00937036,-0.00122476,-0.000664355,0.000419465,0.00270639,0,0.0234259,-0.00122476,-0.000664355,0.000419465
0.003951,1.68967,12.9185,80.9665,-2.86005,-14.0302,-5.84597,0.183945,0.0746262,0.826611,-0.419306,-0.2395,0.163483,0.00144658,0,0.0125213,-0.00164445,-0.000890199,0.000563365,0.00361646,0,0.0313033,-0.00164445,-0.000890199,0.000563365
0.0039119,1.68967,12.9185,80.9665,-2.86005,-14.0302,-5.84597,0.183945,0.0746262,0.826611,-0.419306,-0.2395,0.163483,0.00180209,0,0.0155985,-0.00205647,-0.00111191,0.000704635,0.00450523,0,0.0389963,-0.00205647,-0.00111191,0.000704635
0.0039834,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0.00180209,0,0.0155985,-0.00205647,-0.00111191,0.000704635,0.00450523,0,0.0389963,-0.00205647,-0.00111191,0.000704635
0.0039342,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0.00180209,0,0.0155985,-0.00205647,-0.00111191,0.000704635,0.00450523,0,0.0389963,-0.00205647,-0.00111191,0.000704635
0.0039011,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0.00180209,0,0.0155985,-0.00205647,-0.00111191,0.000704635,0.00450523,0,0.0389963,-0.00205647,-0.00111191,0.000704635
0.0039641,1.50572,12.8439,80.1399,-2.42785,-13.7911,-5.90643,0,0,0,9.81839e-06,-3.29187e-13,-3.84198e-06,0.00180209,0,0.0155985,-0.00205647,-0.00111191,0.000704635,0.00450523,0,0.0389963,-0.00205647,-0.00111191,0.000704635
